event,year,season,location,location_country,gender,race,round,id,url_path,pdf_path,csv_path,date,csv_cached
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Women,Individual Sprint,Qualifying,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Qualifying,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Qualifying.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Women,Individual Sprint,1-8 Finals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_1-8-Finals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_1-8-Finals.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Women,Individual Sprint,Quarterfinals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Quarterfinals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Quarterfinals.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Women,Individual Sprint,Semifinals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Semifinals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Semifinals.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Women,Individual Sprint,Finals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Finals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Women_Finals.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Men,Individual Sprint,Qualifying,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Qualifying,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Qualifying.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Men,Individual Sprint,Semifinals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Semifinals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Semifinals.csv,2021-06-11,TRUE
GRAND PRIX VON DEUTSCHLAND,2021,2020/21,Cottbus,Germany,Men,Individual Sprint,Finals,202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Finals,,,data/csv/202021_GRAND-PRIX-VON-DEUTSCHLAND_Individual-Sprint-Men_Finals.csv,2021-06-11,TRUE
2020 TOKYO OLYMPICS,2021,2020/21,Tokyo,Japan,Women,Individual Sprint,1-32 Finals,202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_1-32-Finals,,,data/csv/202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_1-32-Finals.csv,2021-08-05,TRUE
2020 TOKYO OLYMPICS,2021,2020/21,Tokyo,Japan,Women,Individual Sprint,1-16 Finals,202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_1-16-Finals,,,data/csv/202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_1-16-Finals.csv,2021-08-05,TRUE
2020 TOKYO OLYMPICS,2021,2020/21,Tokyo,Japan,Women,Individual Sprint,Qualifying,202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_Qualifying,,,data/csv/202021_2020-TOKYO-OLYMPICS_Individual-Sprint-Women_Qualifying.csv,2021-08-04,TRUE
